Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
70,,2000/11/24,,,,,,,,,,,data gap jhelio,,,,,,,2000/11/26,11:58:00,2000/11/27,8:00:00,2000/11/28,3:00,0,8,2,150 S,560,-80,910,7,0,,#DIV/0!,,,,,,
71,,2000/11/25/26,,,,,,,,,,,data gap jhelio,,,,,,,2000/11/28,5:30:00,2000/11/28,11:00:00,2000/11/29,22:00,11,0,2,50 S,540,-119,580,9,1,720,57,,,,,,
72,N15E01,2000/12/18,11:50,360,510,810,372,0,-26.8*1,2.3e+15*2,3.0e+30*2,335,AR,9269,11:17,β,C7.0,,,2000/12/22,19:25:00,2000/12/23,0:00:00,2000/12/23,12:00,ns,ns,3,50,320,-62,330,12,0,380,108,,,,,,
73,S07E46,2001/01/20,21:30,360,1507,,1264,1437,-41.1,1.8e+16*2,2.0e+32*2,71,AR,9313,21:13,βγ,M7.7,,,2001/01/23,10:48:00,2001/01/24,9:00:00,2001/01/26,7:00,0,ns,2,140 S,400,-61,550,4,1,680,60,,,,,,
74,S10W30,2001/02/28,14:50,232,313,,345,356,1.9,2.4e+15*2,1.2e+30*2,263,AR,9364,13:47,β,,,,2001/03/03,11:21:00,2001/03/04,4:00:00,2001/03/05,2:00,12,0,2,50 S,440,-73,520,8,2H,610,67,,,,,,
75,S07W20,2001/03/16,3:50,>281,271,,362,317,2.6,1.0e+15*2,3.9e+29*2,312,AR,9373,2:16,βγ,,,,2001/03/19,11:14:00,2001/03/19,17:00:00,2001/03/22,0:00,0,12,1,100 S,360,-149,490,15,2,520,79,,,,,,
76,N16E25,2001/03/25,17:06,360,677,908,522,600,-12.2,3.3e+15*2,7.6e+30*2,19,AR,9402,16:35,βγδ,C9.0,,,2001/03/27,17:47:00,2001/03/28,17:00:00,2001/03/30,18:00,11,0,3,200 S,480,-51,560,3,0,850,48,,,,,,
77,S10E30,2001/03/28,12:50,360,519,792,582,561,4.4,3.0e+15*2,4.0e+30*2,186,AR,9397,12:10,βγδ,,,,2001/03/31,0:52:00,2001/03/31,5:00:00,2001/03/31,22:00,0,nc,3,200 S,640,-387,710,33,1,690,60,,,,,,
78,N20W19,2001/03/29,10:26,360,942,1130,965,957,3.5,2.8e+15*2,1.2e+31*2,71,AR,9402,9:50,αγδ,X1.7,,,2001/03/31,22:00:00,2001/04/01,4:00:00,2001/04/03,15:00,nc,0,2,200,600,-271,820,5,1,700,59,,,,,,
79,S21E31,2001/04/06,19:30,360,1270,1449,914,1215,-57.3,8.4e+15*2,6.8e+31*2,147,AR,9415,19:20,βγδ,,,,2001/04/08,11:01:00,2001/04/08,14:00:00,2001/04/09,4:00,0,0,3,100 S,740,-59,780,13,0,1050,39,,,,,,
80,S23W09,2001/04/10,5:30,360,2411,2940,2876,2974,211.6*1,9.1e+15*2,2.7e+32*2,166,AR,9415,5:17,βγδ,X2.3,,,2001/04/11,13:43:00,2001/04/11,22:00:00,2001/04/13,7:00,0,0,2,230 S,640,-271,740,14,2,1290,32,,,,,,
81,S22W27,2001/04/11,13:31,360,1103,1274,1019,1065,-13,5.3e+15*2,3.2e+31*2,224,AR,9415,13:08,βγδ,M2.3,,,2001/04/13,7:34:00,2001/04/13,9:00:00,2001/04/14,12:00,0,-6,1,200 S,730,-77,830,9,0,990,42,,,,,,
82,N20W05,2001/04/26,12:30,360,1006,1257,1171,1084,21.1,1.2e+16*2,6.1e+31*2,37,AR,9433,11:37,βγδ,M7.8,,,2001/04/28,5:01:00,2001/04/28,14:00:00,2001/05/01,2:00,0,32,2,400 S,550,-47,730,8,2,1040,40,,,,,,
83,N04E18,2001/07/05,3:54,123,437,,616,613,12.3,7.0e+15*2,6.7e+30*2,264,AR,9528,2:55,β,,,,2001/07/08,12:00:00,2001/07/09,2:00:00,2001/07/11,4:00,-12,39,2,30,400,-38,460,5,2,520,79,,,,,,
84,N16W36,2001/08/14,16:01,360,618,822,601,625,-4.8*1,----,----,38,data gap jhelio,,,,,,,2001/08/17,11:03:00,2001/08/17,20:00:00,2001/08/19,16:00,0,0,2,150 S,500,-105,600,11,0,620,66,,,,,,
85,N08W29,2001/09/20,19:31,207,446,,404,403,-3.4,1.0e+15*2,1.0e+30*2,274,AR,9631,18:15,βγ,M1.5,,,2001/09/23,20:00:00,2001/09/24,0:00:00,2001/09/24,22:00,8,-4,3W,30,440,-73,530,7,1,570,72,,,,,,
86,S18W39,2001/09/27,4:54,182,509,,1109,929,36.6,1.8e+16*2,2.3e+31*2,242,AR,9628,5:42,βγδ,C3.8,,,2001/09/29,9:40:00,2001/09/29,11:00:00,2001/10/01,0:00,10,0,2,180 S,560,-66,700,12,1,790,52,,,,,,
87,N10E18,2001/09/28,8:54,360,846,1253,785,807,-6.9,2.0e+16*2,7.2e+31*2,140,AR,9636,8:27,βγδ,,,,2001/09/30,19:24:00,2001/10/01,8:00:00,2001/10/02,0:00,ns,ns,2,80 S,490,-148,550,9,0,710,58,,,,,,
88,N03W06,2001/09/29,11:54,216,509,,470,150,-12.0*1,1.4e+15*2,1.9e+30*2,26,AR,9639,11:05,βγδ,M1.8,,,2001/10/01,21:15 (S),2001/10/02,4:00:00,2001/10/02,12:00,0,0,2,40,490,-104,520,8,0,715,57,,,,,,
89,S28E08,2001/10/09,11:30,360,973,1156,682,811,-41.5,1.2e+16*2,5.6e+31*2,184,AR,9653,10:58,β,M1.4,,,2001/10/11,17:01:00,2001/10/12,4:00:00,2001/10/12,9:00,-7,0,2,180 S,560,-71,570,22,1,780,53,,,,,,
90,N15W29,2001/10/19,16:50,360,901,1051,895,898,-0.7,9.0e+15*2,3.6e+31*2,273,AR,9661,16:21,βγδ,X1.6,,,2001/10/21,16:48:00,2001/10/21,20:00:00,2001/10/25,10:00,0,0,1,250 S,460,-187,680,9,0,870,47,,,,,,
91,S19E12,2001/10/22,18:26,106,618,,572,515,-7.6,1.00E+15,1.90E+30,126,AR,9672,17:38,βγδ,M6.7,,,2001/10/26,22:00:00,2001/10/27,3:00:00,2001/10/28,12:00,0,nc,,20,420,-27,500,10,0,417,99,,,,,,
92,S16W21,2001/10/25,15:26,360,1092,1319,1080,1087,-1.4,4.2e+15*2,2.5e+31*2,175,AR,9672,15:01,βγδ,X1.3,,,2001/10/28,3:19:00,2001/10/29,22:00:00,2001/10/31,13:00,-6,7,2,150 S,360,-157,510,5,0,694,59,,,,,,
